,,5.00,14.00,23.00,32.00,41.00,50.00
2,ANMI,0.00,0.14,0.19,0.00,0.00,0.00
2,Calinski,,4.34,44.99,,,
2,NMI,0.00,0.35,0.81,0.00,0.00,0.00
2,Rand,0.00,0.12,0.67,0.00,0.00,0.00
2,Silhouette,,-0.30,0.04,,,
3,ANMI,0.00,0.15,0.19,0.00,0.00,0.00
3,Calinski,,6.75,66.25,,,
3,NMI,0.00,0.33,0.82,0.00,0.00,0.00
3,Rand,0.00,0.10,0.68,0.00,0.00,0.00
3,Silhouette,,-0.33,0.11,,,
4,ANMI,0.00,0.15,0.19,0.00,0.00,0.00
4,Calinski,,10.46,101.43,,,
4,NMI,0.00,0.33,0.83,0.00,0.00,0.00
4,Rand,0.00,0.09,0.68,0.00,0.00,0.00
4,Silhouette,,-0.26,0.17,,,
5,ANMI,0.00,0.14,0.19,0.00,0.00,0.00
5,Calinski,,10.69,123.87,,,
5,NMI,0.00,0.29,0.82,0.00,0.00,0.00
5,Rand,0.00,0.07,0.60,0.00,0.00,0.00
5,Silhouette,,-0.26,0.20,,,
6,ANMI,0.00,0.13,0.19,0.06,0.00,0.00
6,Calinski,,12.65,123.35,2.34,,
6,NMI,0.00,0.29,0.80,0.01,0.00,0.00
6,Rand,0.00,0.06,0.59,-0.00,0.00,0.00
6,Silhouette,,-0.18,0.20,0.06,,
7,ANMI,0.00,0.13,0.19,0.06,0.00,0.00
7,Calinski,,21.55,122.83,2.34,,
7,NMI,0.00,0.28,0.79,0.01,0.00,0.00
7,Rand,0.00,0.05,0.58,-0.00,0.00,0.00
7,Silhouette,,-0.12,0.20,0.06,,
